General Customer Portal View,Methods ,Super Admin,Admin,Standard User,View Only User,Assets User,Custom Role (post-GA),Internal Full User (post-GA),Internal View Only User,Notes,Category Label in UI,Description in UI,Notes & Questions
General,Right to Customer Portal Access. View Information,X,X,X,X,X,X,X,X,"This indicates permission to login to CXC, but with only assigned features below Row 2",(Not displayed in UI),N/A,What's the intention behind having a Super Admin and Admin?
Admin Settings,Right to Administrate Asset Groups.Manage Asset Groups,X,,,,,,,,,Assets,Access to Manage Asset Groups,"Assume this means ""create"" asset groups?"
Admin Settings,Right to Manage Users Groups ,X,,,,,,,,,User Management,Access to Manage User Groups,
Admin Settings,Right to Manage Access Policies,X,,,,,,,,,User Management,Access to Manage Access Policies,"Added this one. ""Access Policies"" are a new concept"
Admin Settings,Right to Access Management. Assign Roles,X,,,,,,,,,User Management,Access to Assign Roles,
Admin Settings,Right to Administrate Account.Manage Users,X,,,,,,,,,User Management,Access to Manage Users,
Admin Settings,Right to Automated Fault Management.OpenCase Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Automated Fault Management,Access to Automated Fault Management Open Case Policy,
Admin Settings,Right to Rapid Problem Resolution.Opt in/out Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Cases,Access to Opt In/Out of Rapid Problem Resolution,
Admin Settings,Right to Compliance.Opt in/out Policy,X,X,,,,,,,Admin can grant access to selected users (no limit),Compliance,Access to Opt In/Out of Compliance,
General,Right to Services Upgrade. Request Upgrade,X,,,,,X,,,,Services,Access to Request Upgrade,
General,Right to Services Renewal. Request Renewal,X,,,,,X,,,,Services,Access to Request Renewal,
General,Right to Collector Scan.Collector Set up,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Collector Setup,
General,Right to Collector Scan.Schedule Scan,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Schedule Scan,
General,Right to Collector Scan.Run Scan,X,X,,,,X,X,,Admin can grant access to selected users (no limit),Scans & Collection,Access to Run Scan,
General,Right to Collector Scan.View Schedule ,X,X,X,X,X,X,X,X,,Scans & Collection,Access to View Schedule,
Lifecycle,Right to Manage PitStop.Complete Checklist ,X,X,X,,,X,X,,Admin can grant access to selected users (no limit),Lifecycle,Access to Complete Checklist,
Lifecycle,Right to Public Communities.View threads,X,X,X,X,,X,X,X,,Lifecycle,Access to View Community Threads,
